,age,marital,segment,SocialMedia,income,creditRating,aveSpend,touchpoints,nTouchpoints,recent_touchpoint,num_creditRating,single,divorced,married,unknown,P4,P3,P2,P1,U,N,Y,C,B,D,A,F,E,New,G
0,38,single,P4,U,51000.0,C,5007.5,emailDestination mailDiscount,2,mailDiscount,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,39,divorced,P3,U,100000.0,B,19.74,emailDestination mailGift,2,mailGift,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2,41,married,P4,N,51000.0,D,320.1,emailDiscount mailGift emailDiscount,3,emailDiscount,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,60,married,P4,U,152000.0,C,39.47,mailDiscount,1,mailDiscount,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4,47,married,P2,Y,60000.0,A,19.89,mailDestination emailDestination emailDestination,3,emailDestination,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5,60,divorced,P2,N,77000.0,C,12.5,emailDestination,1,emailDestination,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
6,36,single,P1,Y,120000.0,B,11.99,smsDiscount,1,smsDiscount,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
7,31,single,P1,Y,47000.0,C,253.7,emailDestination emailDiscount,2,emailDiscount,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
8,46,married,P1,N,81000.0,A,224.01,emailDestination mailDiscount emailGift emailDestination,4,emailDestination,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
9,30,married,P4,Y,72930.0,D,163.84,emailDiscount mailDiscount,2,mailDiscount,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,25,single,P3,Y,90000.0,D,129.44,smsDestination emailDestination smsDestination smsDestination smsDestination,5,smsDestination,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11,31,single,P1,U,55000.0,D,22.42,emailGift,1,emailGift,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
12,29,single,P2,Y,71000.0,D,2.5,emailDestination,1,emailDestination,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
13,33,married,P4,Y,60000.0,B,29.25,smsDiscount smsDiscount,2,smsDiscount,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
14,41,single,P1,Y,72000.0,A,14.34,emailDiscount,1,emailDiscount,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
15,53,married,P4,U,41600.0,C,1027.24,mailDiscount,1,mailDiscount,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
16,34,married,P1,Y,142000.0,B,64.32,emailDiscount emailDestination,2,emailDestination,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
17,28,single,P1,U,18000.0,C,967.64,mailDiscount emailDiscount smsDestination mailDiscount,4,mailDiscount,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
18,52,married,P3,Y,128790.0,D,353.52,mailDiscount emailDiscount smsGift,3,smsGift,4,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
19,34,married,P1,U,130000.0,B,77.34,smsDiscount emailDiscount,2,emailDiscount,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
20,26,single,P4,N,83000.0,B,9784.32,emailDiscount emailDestination mailDiscount,3,mailDiscount,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
21,45,married,P3,Y,48000.0,C,4506.66,mailDiscount emailDiscount emailDiscount emailGift,4,emailGift,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
22,58,married,P2,U,75000.0,A,272.22,emailDestination emailGift emailDestination,3,emailDestination,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
23,37,single,P2,N,58760.0,A,5.18,smsDiscount emailDestination,2,emailDestination,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
24,44,divorced,P4,N,95000.0,C,47.82,emailDestination emailDestination emailDestination emailDestination,4,emailDestination,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,42,married,P4,Y,73000.0,F,110.91,emailDestination emailGift emailDestination emailDestination,4,emailDestination,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
26,49,married,P3,Y,70000.0,E,130.48,emailDestination smsDestination smsGift emailDestination,4,emailDestination,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
27,31,single,P3,N,133700.0,A,12.13,emailDestination,1,emailDestination,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
28,37,married,P1,Y,80000.0,D,65.91,mailGift mailGift emailDiscount,3,emailDiscount,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
29,42,married,P2,N,62000.0,C,7.5,emailDestination,1,emailDestination,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
30,33,married,P1,Y,49000.0,D,12.13,emailDestination,1,emailDestination,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
31,52,married,P3,N,106000.0,C,148.34,emailGift emailDestination emailGift,3,emailGift,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
32,55,married,P4,N,150000.0,A,57.22,emailDiscount,1,emailDiscount,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33,37,married,P2,N,49000.0,C,22.57,mailGift mailDestination,2,mailDestination,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
34,28,single,P1,U,42000.0,B,4325.87,emailDiscount emailDestination emailDestination mailDiscount,4,mailDiscount,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
35,54,married,P4,Y,49500.0,D,174.81,emailDestination smsDestination emailDestination,3,emailDestination,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
